countyFIPS,Estimate!!OCCUPATION!!Civilian employed population 16 years and over,Percent Estimate!!OCCUPATION!!Civilian employed population 16 years and over,"Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations","Percent Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations",Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations,Percent Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations,Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Sales and office occupations,Percent Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Sales and office occupations,"Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations","Percent Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations","Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations","Percent Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations"
1043,33003,33003,8908,27.0,4795,14.5,7285,22.1,5048,15.3,6967,21.1
1045,18025,18025,4769,26.5,2871,15.9,4490,24.9,2338,13.0,3557,19.7
1047,14295,14295,3751,26.2,2411,16.9,2638,18.5,1206,8.4,4289,30.0
1049,28637,28637,6648,23.2,4525,15.8,5528,19.3,3522,12.3,8414,29.4
1051,33811,33811,12449,36.8,4320,12.8,7853,23.2,3557,10.5,5632,16.7
1053,12182,12182,2958,24.3,2643,21.7,2790,22.9,1304,10.7,2487,20.4
1055,42367,42367,12810,30.2,7830,18.5,8773,20.7,3857,9.1,9097,21.5
1057,6380,6380,1659,26.0,1076,16.9,1177,18.4,711,11.1,1757,27.5
1059,12849,12849,3040,23.7,1787,13.9,2415,18.8,1617,12.6,3990,31.1
1061,10047,10047,2517,25.1,1608,16.0,1980,19.7,1925,19.2,2017,20.1
1063,2204,2204,589,26.7,392,17.8,462,21.0,166,7.5,595,27.0
1065,5083,5083,1413,27.8,882,17.4,1166,22.9,572,11.3,1050,20.7
1067,6868,6868,2125,30.9,1384,20.2,1349,19.6,641,9.3,1369,19.9
1069,44291,44291,14031,31.7,8211,18.5,10741,24.3,4325,9.8,6983,15.8
1071,20189,20189,5488,27.2,2719,13.5,3842,19.0,2381,11.8,5759,28.5
1073,302428,302428,117623,38.9,50585,16.7,71650,23.7,22443,7.4,40127,13.3
1075,5338,5338,1446,27.1,718,13.5,938,17.6,846,15.8,1390,26.0
1077,40130,40130,12632,31.5,7000,17.4,9599,23.9,4025,10.0,6874,17.1
1079,12568,12568,3394,27.0,1726,13.7,2079,16.5,1829,14.6,3540,28.2
1081,72956,72956,29680,40.7,11850,16.2,15309,21.0,5689,7.8,10428,14.3
1083,39595,39595,14308,36.1,6092,15.4,7463,18.8,4386,11.1,7346,18.6
1085,3457,3457,853,24.7,555,16.1,677,19.6,379,11.0,993,28.7
1087,7289,7289,2247,30.8,1601,22.0,1456,20.0,546,7.5,1439,19.7
1089,172631,172631,82012,47.5,26101,15.1,34930,20.2,10706,6.2,18882,10.9
1091,6563,6563,1910,29.1,1141,17.4,1331,20.3,833,12.7,1348,20.5
1093,11980,11980,3116,26.0,1707,14.2,2598,21.7,1496,12.5,3063,25.6
1095,38997,38997,11574,29.7,6368,16.3,7682,19.7,4556,11.7,8817,22.6
1097,174229,174229,56560,32.5,30270,17.4,40415,23.2,17672,10.1,29312,16.8
1099,6422,6422,1800,28.0,1163,18.1,1193,18.6,911,14.2,1355,21.1
1101,100599,100599,37180,37.0,18538,18.4,23305,23.2,5433,5.4,16143,16.0
1103,51513,51513,16367,31.8,8363,16.2,11342,22.0,5622,10.9,9819,19.1
1105,2325,2325,695,29.9,465,20.0,464,20.0,174,7.5,527,22.7
1107,7136,7136,1978,27.7,1066,14.9,1536,21.5,845,11.8,1711,24.0
1109,14093,14093,4426,31.4,2727,19.4,3055,21.7,1031,7.3,2854,20.3
1111,8628,8628,2175,25.2,1226,14.2,1612,18.7,1003,11.6,2612,30.3
1113,23550,23550,6976,29.6,4168,17.7,5840,24.8,2428,10.3,4138,17.6
1115,38881,38881,11127,28.6,6280,16.2,9539,24.5,4820,12.4,7115,18.3
