countyFIPS,Estimate!!VETERAN STATUS!!Civilian population 18 years and over,Percent Estimate!!VETERAN STATUS!!Civilian population 18 years and over,Estimate!!VETERAN STATUS!!Civilian population 18 years and over!!Civilian veterans,Percent Estimate!!VETERAN STATUS!!Civilian population 18 years and over!!Civilian veterans
13315,7154.0,7154.0,549.0,7.7
13317,7787.0,7787.0,578.0,7.4
13319,6991.0,6991.0,403.0,5.8
13321,15854.0,15854.0,1366.0,8.6
15001,154193.0,154193.0,14702.0,9.5
15003,737409.0,737409.0,77513.0,10.5
15005,71.0,71.0,2.0,2.8
15007,55451.0,55451.0,4190.0,7.6
15009,128383.0,128383.0,9156.0,7.1
16001,335847.0,335847.0,29466.0,8.8
16003,3282.0,3282.0,550.0,16.8
16005,62379.0,62379.0,5245.0,8.4
16007,4362.0,4362.0,329.0,7.5
16009,6961.0,6961.0,919.0,13.2
16011,31211.0,31211.0,1962.0,6.3
16013,16959.0,16959.0,1306.0,7.7
16015,5874.0,5874.0,880.0,15.0
16017,34174.0,34174.0,4486.0,13.1
16019,77301.0,77301.0,5908.0,7.6
16021,8809.0,8809.0,1181.0,13.4
16023,2015.0,2015.0,239.0,11.9
16025,665.0,665.0,87.0,13.1
16027,149837.0,149837.0,13357.0,8.9
16029,4891.0,4891.0,340.0,7.0
16031,15972.0,15972.0,1006.0,6.3
16033,747.0,747.0,28.0,3.7
16035,7212.0,7212.0,1207.0,16.7
16037,3431.0,3431.0,446.0,13.0
16039,17331.0,17331.0,4093.0,23.6
16041,8871.0,8871.0,515.0,5.8
16043,9457.0,9457.0,750.0,7.9
16045,13069.0,13069.0,2005.0,15.3
16047,11013.0,11013.0,975.0,8.9
16049,13098.0,13098.0,1743.0,13.3
16051,18325.0,18325.0,1462.0,8.0
16053,16161.0,16161.0,1211.0,7.5
16055,117827.0,117827.0,12376.0,10.5
16057,31819.0,31819.0,2338.0,7.3
16059,6360.0,6360.0,824.0,13.0
16061,2955.0,2955.0,395.0,13.4
16063,3696.0,3696.0,311.0,8.4
16065,28132.0,28132.0,880.0,3.1
16067,14669.0,14669.0,984.0,6.7
16069,31455.0,31455.0,3059.0,9.7
16071,3057.0,3057.0,266.0,8.7
16073,8420.0,8420.0,765.0,9.1
16075,16825.0,16825.0,1561.0,9.3
16077,5392.0,5392.0,508.0,9.4
16079,10014.0,10014.0,1312.0,13.1
16081,8159.0,8159.0,336.0,4.1
16083,60362.0,60362.0,5760.0,9.5
16085,8503.0,8503.0,942.0,11.1
16087,7677.0,7677.0,732.0,9.5
17001,51394.0,51394.0,4711.0,9.2
17003,4951.0,4951.0,439.0,8.9
17005,13477.0,13477.0,1236.0,9.2
17007,39860.0,39860.0,3233.0,8.1
17009,5629.0,5629.0,408.0,7.2
17011,26112.0,26112.0,2309.0,8.8
17013,3839.0,3839.0,423.0,11.0
17015,11719.0,11719.0,1203.0,10.3
17017,9599.0,9599.0,911.0,9.5
17019,169776.0,169776.0,9257.0,5.5
17021,26385.0,26385.0,2701.0,10.2
17023,12195.0,12195.0,1022.0,8.4
17025,10365.0,10365.0,940.0,9.1
17027,29617.0,29617.0,2916.0,9.8
17029,42365.0,42365.0,3188.0,7.5
