countyFIPS,Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school,Percent Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school,"Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school, preschool","Percent Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school, preschool",Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Kindergarten,Percent Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Kindergarten,Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades 1-8),Percent Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades 1-8),Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12),Percent Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12),Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school,Percent Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school
13161,3898.0,3898.0,231.0,5.9,190.0,4.9,1827.0,46.9,1251.0,32.1,399.0,10.2
13163,3611.0,3611.0,186.0,5.2,270.0,7.5,1764.0,48.9,831.0,23.0,560.0,15.5
13165,1864.0,1864.0,123.0,6.6,233.0,12.5,771.0,41.4,384.0,20.6,353.0,18.9
13167,2091.0,2091.0,159.0,7.6,150.0,7.2,797.0,38.1,625.0,29.9,360.0,17.2
13169,7054.0,7054.0,503.0,7.1,455.0,6.5,3322.0,47.1,1691.0,24.0,1083.0,15.4
13171,5320.0,5320.0,174.0,3.3,230.0,4.3,1653.0,31.1,1212.0,22.8,2051.0,38.6
13173,2645.0,2645.0,108.0,4.1,65.0,2.5,1300.0,49.1,490.0,18.5,682.0,25.8
13175,11152.0,11152.0,949.0,8.5,636.0,5.7,5115.0,45.9,2595.0,23.3,1857.0,16.7
13177,8775.0,8775.0,517.0,5.9,612.0,7.0,3488.0,39.7,2019.0,23.0,2139.0,24.4
13179,17630.0,17630.0,948.0,5.4,1089.0,6.2,7372.0,41.8,3095.0,17.6,5126.0,29.1
13181,1484.0,1484.0,67.0,4.5,77.0,5.2,604.0,40.7,454.0,30.6,282.0,19.0
13183,4815.0,4815.0,327.0,6.8,281.0,5.8,2323.0,48.2,864.0,17.9,1020.0,21.2
13185,34891.0,34891.0,1977.0,5.7,1536.0,4.4,12289.0,35.2,5738.0,16.4,13351.0,38.3
13187,9021.0,9021.0,386.0,4.3,226.0,2.5,2482.0,27.5,1713.0,19.0,4214.0,46.7
13189,4950.0,4950.0,297.0,6.0,274.0,5.5,2463.0,49.8,1306.0,26.4,610.0,12.3
13191,2573.0,2573.0,54.0,2.1,42.0,1.6,1296.0,50.4,648.0,25.2,533.0,20.7
13193,3063.0,3063.0,252.0,8.2,127.0,4.1,1238.0,40.4,679.0,22.2,767.0,25.0
13195,6254.0,6254.0,377.0,6.0,337.0,5.4,3076.0,49.2,1525.0,24.4,939.0,15.0
13197,1670.0,1670.0,213.0,12.8,191.0,11.4,603.0,36.1,483.0,28.9,180.0,10.8
13199,4567.0,4567.0,327.0,7.2,274.0,6.0,2109.0,46.2,1200.0,26.3,657.0,14.4
13201,1174.0,1174.0,104.0,8.9,100.0,8.5,587.0,50.0,260.0,22.1,123.0,10.5
13205,5613.0,5613.0,673.0,12.0,173.0,3.1,2558.0,45.6,1278.0,22.8,931.0,16.6
13207,5815.0,5815.0,236.0,4.1,291.0,5.0,2711.0,46.6,1389.0,23.9,1188.0,20.4
13209,2210.0,2210.0,101.0,4.6,136.0,6.2,855.0,38.7,463.0,21.0,655.0,29.6
13211,3959.0,3959.0,367.0,9.3,241.0,6.1,1772.0,44.8,945.0,23.9,634.0,16.0
13213,9032.0,9032.0,493.0,5.5,525.0,5.8,4491.0,49.7,2400.0,26.6,1123.0,12.4
13215,55712.0,55712.0,3950.0,7.1,2514.0,4.5,21583.0,38.7,10333.0,18.5,17332.0,31.1
13217,29580.0,29580.0,1806.0,6.1,1707.0,5.8,13113.0,44.3,7337.0,24.8,5617.0,19.0
13219,10740.0,10740.0,524.0,4.9,495.0,4.6,4806.0,44.7,2753.0,25.6,2162.0,20.1
13221,3435.0,3435.0,250.0,7.3,203.0,5.9,1464.0,42.6,782.0,22.8,736.0,21.4
13223,43095.0,43095.0,2349.0,5.5,2031.0,4.7,19790.0,45.9,10499.0,24.4,8426.0,19.6
13225,8274.0,8274.0,361.0,4.4,372.0,4.5,2622.0,31.7,1393.0,16.8,3526.0,42.6
13227,6479.0,6479.0,387.0,6.0,438.0,6.8,3064.0,47.3,1408.0,21.7,1182.0,18.2
13229,4134.0,4134.0,263.0,6.4,262.0,6.3,2021.0,48.9,977.0,23.6,611.0,14.8
13231,4503.0,4503.0,201.0,4.5,222.0,4.9,2064.0,45.8,1127.0,25.0,889.0,19.7
13233,10089.0,10089.0,676.0,6.7,492.0,4.9,4920.0,48.8,2216.0,22.0,1785.0,17.7
13235,2170.0,2170.0,90.0,4.1,27.0,1.2,864.0,39.8,770.0,35.5,419.0,19.3
13237,4636.0,4636.0,602.0,13.0,262.0,5.7,2110.0,45.5,880.0,19.0,782.0,16.9
13239,431.0,431.0,47.0,10.9,32.0,7.4,156.0,36.2,100.0,23.2,96.0,22.3
13241,2774.0,2774.0,167.0,6.0,182.0,6.6,1147.0,41.3,652.0,23.5,626.0,22.6
13243,1855.0,1855.0,111.0,6.0,213.0,11.5,870.0,46.9,384.0,20.7,277.0,14.9
13245,52071.0,52071.0,3164.0,6.1,2394.0,4.6,20853.0,40.0,10585.0,20.3,15075.0,29.0
13247,24797.0,24797.0,1091.0,4.4,1135.0,4.6,10624.0,42.8,5893.0,23.8,6054.0,24.4
13249,1487.0,1487.0,102.0,6.9,49.0,3.3,585.0,39.3,433.0,29.1,318.0,21.4
13251,3143.0,3143.0,204.0,6.5,254.0,8.1,1255.0,39.9,804.0,25.6,626.0,19.9
13253,1811.0,1811.0,62.0,3.4,48.0,2.7,835.0,46.1,574.0,31.7,292.0,16.1
13255,14478.0,14478.0,1130.0,7.8,1108.0,7.7,7045.0,48.7,3109.0,21.5,2086.0,14.4
13257,6624.0,6624.0,371.0,5.6,253.0,3.8,2534.0,38.3,1754.0,26.5,1712.0,25.8
13259,783.0,783.0,86.0,11.0,44.0,5.6,345.0,44.1,226.0,28.9,82.0,10.5
13261,9080.0,9080.0,495.0,5.5,533.0,5.9,3309.0,36.4,1495.0,16.5,3248.0,35.8
